BULAWAYO METROPOLITAN PROVINCE 2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,STATION CODE,Busha Joseph Makamba FreeZim Congress,Chamisa Nelson MDC Alliance,Chikanga  Everisto Washington Rebuild Zimbabwe,Dzapasi Melbah # 1980 Freedom Movement Zimbabwe,Gava Peter Mapfumo UDF,Hlabangana Kwanele RPZ,Kasiyamhuru Blessing ZPP,Khupe Thokozani MDC-T,Madhuku Lovemore NCA,Mangoma Elton Steers Coalition of Democrats,Manyika Noah Ngoni BZA,Mapfumo Chiguvare Tonderayi Johannes Timothy PPPZ,MARIYACHA Violet UDM,Mhambi-Hove Divine NAPDR,Mnangagwa Emmerson Dambudzo ZANU PF,Moyo Donald Nkosana APA,Mteki Bryn Taurai Independent,Mugadza Willard Tawonezvi BCP,Mujuru Joice Teurai Ropa PRC,Munyanduri Tenda Peter NPF,MutinhirI Ambrose NPF,Shumba Kuzozvirava Doniel UDA,Wilson Peter Harry DOP,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,Bulawayo Central Constituency,,,,,,,,,,,,,,,,,,,,,,,,       ,,,,
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,City Hall A,0801BYO0101 A,1,511,0,0,0,1,3,12,0,0,1,0,0,0,200,12,0,1,1,0,0,1,0,10,0,754,744
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,City Hall B,0801BYO0101 B,1,491,1,0,0,1,0,18,0,3,0,0,0,0,213,5,0,0,1,0,0,0,0,6,0,740,734
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Eveline High School,0801BYO0102,0,375,0,0,0,0,0,4,0,0,0,0,0,0,131,7,1,2,1,0,0,0,0,3,0,524,521
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Mckeurtan Primary School,0801BYO0103,0,129,0,0,0,0,0,4,0,0,0,0,0,0,80,1,0,0,0,1,0,0,0,2,0,217,215
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Milton Junior School,0801BYO0104,0,213,0,0,0,0,0,6,0,0,1,0,0,0,61,10,0,0,1,0,0,0,0,0,0,292,292
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Old Bulawayo Polytechnic,0801BYO0105,0,170,0,0,0,0,0,1,0,0,0,0,0,0,69,4,0,0,0,0,0,0,0,1,0,245,244
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Peter Pan Nursery School,0801BYO0106,0,245,2,0,0,1,2,4,0,0,0,0,0,0,97,3,0,0,0,0,0,0,0,2,0,356,354
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Pick and Pay Tent,0801BYO0107,1,328,0,1,0,0,0,6,0,0,0,0,0,0,193,2,0,1,3,0,0,0,1,0,0,536,536
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Robert Tredgold Primary School,0801BYO0108,0,140,0,0,0,0,0,3,0,0,0,0,0,0,78,0,0,1,0,0,0,0,0,3,0,225,222
,,,,9 Polling Stations,Ward Total,3,"2,602",3,1,0,3,5,58,0,3,2,0,0,0,"1,122",44,1,5,7,1,0,1,1,27,0,"3,889","3,862"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Airport Primary School,0801BYO0201,0,159,0,0,0,0,0,1,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,2,0,214,212
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Aiselby Primary School,0801BYO0202,1,84,1,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,103,103
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Baines Infants School,0801BYO0203,0,260,1,0,0,0,0,11,1,0,1,0,1,0,100,3,1,0,1,0,0,0,0,2,0,382,380
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Baines Junior School A,0801BYO0204 A,1,402,1,2,0,2,1,5,0,0,2,0,0,0,177,2,0,0,0,0,0,0,0,4,0,599,595
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Baines Junior School B,0801BYO0204 B,0,424,1,1,1,1,1,10,0,0,0,1,0,0,152,8,0,0,1,1,0,1,0,7,0,610,603
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Falls Garage Tent,0801BYO0205,1,167,0,0,0,0,0,8,0,0,2,0,0,0,63,1,0,0,2,0,0,0,0,1,0,245,244
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Harrisvale Hide out Tent,0801BYO0206,1,197,0,0,0,1,1,4,0,0,0,0,0,0,97,6,0,0,4,0,1,0,0,4,0,316,312
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Hugh Beadle Primary School A,0801BYO0207 A,1,470,0,0,0,0,0,12,0,0,0,0,0,0,238,4,1,0,3,0,0,0,0,7,4,736,729
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Hugh Beadle Primary School B,0801BYO0207 B,1,454,2,0,0,2,0,7,0,1,1,0,0,0,242,3,0,2,2,0,0,1,0,4,0,722,718
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Body and Blood Roman Catholic Church,0801BYO0208,0,78,1,0,0,0,0,2,0,0,0,0,0,0,52,1,0,0,3,0,0,0,0,0,0,137,137
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Montgomery Hall,0801BYO0209,2,450,1,0,0,2,2,26,1,0,0,0,1,0,197,5,0,0,4,0,2,0,0,4,1,697,693
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Newmansford Primary School,0801BYO0210,1,478,1,1,0,0,1,16,0,0,0,0,1,0,272,4,0,2,10,1,0,1,0,9,0,798,789
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Ngozi Mine,0801BYO0211,0,13,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,21,20
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Norwood Tent,0801BYO0212,3,20,0,1,0,0,0,4,0,0,0,0,1,0,40,3,1,0,2,0,0,0,0,2,0,77,75
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Northend Shopping Centre Tent,0801BYO0213,0,436,1,0,0,1,0,15,0,0,1,0,0,0,185,2,0,0,3,0,1,0,1,2,0,648,646
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Northlea High School,0801BYO0214,1,115,0,0,1,0,0,6,0,0,0,0,0,0,75,2,0,1,0,0,0,0,0,7,0,208,201
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Pig Farm (Umvutsha) Tent,0801BYO0215,0,77,0,0,0,0,1,6,0,1,1,1,0,0,41,1,0,1,6,1,1,0,0,5,0,143,138
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Richmond Club,0801BYO0216,0,60,0,0,0,1,0,1,0,0,0,0,0,0,35,1,0,0,3,0,1,0,0,2,0,104,102
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Richmond Hall,0801BYO0217,0,288,0,0,0,2,0,8,0,0,0,0,0,0,99,4,0,0,9,1,0,0,0,3,0,414,411
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Raigate Education Offices,0801BYO0218,0,91,1,0,0,0,0,1,0,0,0,0,0,0,59,2,0,0,1,0,0,0,0,3,0,158,155
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Tegela Garage Tent,0801BYO0219,0,197,1,0,0,0,1,5,0,0,0,0,0,0,84,1,0,0,1,0,0,1,0,0,0,291,291
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Trenance Primary School,0801BYO0220,0,385,1,1,0,0,1,6,0,0,0,6,0,0,124,2,1,1,9,0,1,0,1,8,0,547,539
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Umgusa Primary School,0801BYO0221,1,117,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,2,0,175,173
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Umvutsha Farm,0801BYO0222,0,38,0,0,0,0,0,2,0,0,0,0,1,0,31,0,0,1,1,2,0,0,1,3,0,80,77
Bulawayo,,,,24 Polling Stations,Ward Totals,14,"5,460",14,6,2,12,10,159,2,2,8,8,5,0,"2,486",56,4,8,66,6,8,4,3,82,5,"8,425","8,343"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Bagcwele Shopping Centre Tent,0801BYO0501,2,94,0,0,0,0,0,1,0,0,2,0,0,0,63,1,0,1,1,0,0,0,0,2,0,167,165
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Bradfield Shopping Centre Tent A,0801BYO0502 A,1,375,1,0,2,1,0,8,0,0,0,0,0,0,102,9,0,0,1,1,0,0,0,3,0,504,501
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Bradfield Shopping Centre Tent B,0801BYO0502 B,2,319,0,0,0,0,0,6,0,0,0,1,0,0,141,18,0,1,2,0,0,0,0,0,0,490,490
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Christ the King Church,0801BYO0503,1,340,0,0,0,2,0,12,0,0,0,0,0,0,138,8,0,3,2,0,1,1,0,5,0,513,508
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Gifford High School,0801BYO0504,0,427,1,1,0,0,0,6,0,0,0,0,0,0,155,6,2,1,3,1,0,0,0,6,0,609,603
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Hamilton High School,0801BYO0505,1,155,1,0,0,0,0,7,1,0,2,0,0,0,82,8,0,0,0,0,0,0,0,1,0,258,257
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Henry Low Primary School,0801BYO0506,0,300,0,1,0,0,0,13,0,0,0,0,0,0,93,5,0,0,0,0,0,0,0,2,0,414,412
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Hillside Scout A Hall,0801BYO0507,1,342,1,0,0,2,0,12,0,0,1,0,0,0,164,6,1,0,3,0,0,0,1,2,0,536,534
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Hillside Scout B Hall,0801BYO0508,0,181,2,0,0,1,0,2,0,0,0,0,0,0,63,10,0,0,1,0,0,0,1,2,0,263,261
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Hornoung Park Tent,0801BYO0509,1,173,0,0,0,3,0,6,0,0,0,1,0,0,73,3,0,1,3,0,0,0,1,2,0,267,265
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Mentessari Primary School,0801BYO0510,2,111,0,0,0,0,0,5,1,0,0,0,1,0,35,3,1,0,1,0,0,0,0,0,0,160,160
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Milton High School,0801BYO0511,2,494,3,1,1,4,0,15,0,0,0,0,0,0,184,15,0,4,2,0,0,0,1,6,0,732,726
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Montrose Girls High School,0801BYO0512,0,179,0,0,0,0,0,8,0,0,1,0,0,0,63,1,0,0,1,0,0,0,0,2,0,255,253
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Moray Primary School,0801BYO0513,1,356,1,1,0,2,2,10,1,0,0,0,0,1,109,8,0,0,2,2,0,0,1,2,0,499,497
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Morningside Shopping Centre Tent,0801BYO0514,1,551,1,1,1,0,0,13,0,0,4,0,0,0,184,9,1,0,1,0,1,1,1,2,0,772,770
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Retreat Shopping Centre Tent,0801BYO0515,1,435,1,2,0,0,0,17,0,0,0,0,0,0,189,6,1,2,2,0,0,0,1,5,0,662,657
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,Riverside College,0801BYO0516,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,30,30
Bulawayo,Bulawayo Central,Bulawayo Municipality,5,St Francis Primary School,0801BYO0517,0,156,0,0,0,0,1,3,0,0,0,0,0,0,62,1,0,0,0,0,1,0,0,1,0,225,224
,,,,18 Polling Stations,Ward Total,16,"5,009",12,7,4,15,3,144,3,0,10,2,1,1,"1,906",119,6,14,25,4,3,2,7,43,0,"7,356","7,313"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bulawayo Central Constituency Totals,,33,"13,071",29,14,6,30,18,361,5,5,20,10,6,1,"5,514",219,11,27,98,11,11,7,11,152,5,"19,670","19,518"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bulawayo East Constituency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bulawayo East,Bulawayo Municipality,3,Amazon Primary School,0801BYO0301,1,537,0,1,0,0,2,11,0,0,3,0,0,0,167,5,0,0,1,1,0,2,0,2,0,733,731
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Carmel Primary School,0801BYO0302,0,162,1,0,0,0,0,2,0,0,0,0,0,0,152,2,0,0,0,0,0,0,0,1,0,320,319
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Devine Mercy Catholic Church A,0801BYO0303 A,4,390,0,1,0,0,1,10,0,0,0,0,0,0,139,4,0,0,1,0,0,4,0,2,0,556,554
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Devine Mercy Catholic Church B,0801BYO0303 B,3,400,1,0,0,0,0,9,0,0,0,0,0,0,122,4,0,0,0,1,0,0,1,6,0,547,541
Bulawayo,Bulawayo East,Bulawayo Municipality,3,King George VI,0801BYO0304,3,291,0,0,0,0,0,8,1,0,2,0,0,0,251,6,0,0,2,0,0,0,0,2,0,566,564
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Kumalo Primary School A,0801BYO0305 A,1,290,0,0,0,0,0,12,0,0,0,0,0,0,117,6,0,0,0,0,0,0,0,7,0,433,426
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Kumalo Primary School B,0801BYO0305 B,0,291,1,0,1,1,0,6,0,0,0,0,0,0,124,4,0,0,1,0,0,0,4,2,0,435,433
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Mahatshula Primary School A,0801BYO0306 A,2,309,1,0,0,1,0,6,0,0,0,0,0,0,99,5,0,1,0,0,0,0,0,2,0,426,424
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Mahatshula Primary School B,0801BYO0306 B,1,324,0,1,0,0,0,5,0,0,1,0,0,0,85,3,0,0,0,0,0,0,0,5,0,425,420
Bulawayo,Bulawayo East,Bulawayo Municipality,3,NUST Tent,0801BYO0307,0,177,0,0,0,0,0,10,0,0,0,0,0,0,49,9,0,0,2,0,0,0,0,5,0,252,247
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Old Nic Mine,0801BYO0308,3,285,1,0,0,1,1,11,0,0,0,0,0,2,154,4,0,1,5,0,0,0,0,7,0,475,468
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Roman Catholic University A,0801BYO0309 A,0,443,0,0,0,0,0,7,0,0,0,0,0,0,287,9,0,0,0,1,0,0,1,4,0,752,748
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Roman Catholic University B,0801BYO0309 B,0,449,0,0,0,1,1,5,0,0,1,0,0,0,273,10,0,0,1,0,0,0,0,0,0,741,741
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Roman Catholic University C,0801BYO0309 C,0,471,0,1,1,0,0,12,0,0,1,2,0,0,243,9,1,0,3,0,0,0,0,3,0,747,744
Bulawayo,Bulawayo East,Bulawayo Municipality,3,School of Mines,0801BYO0310,0,321,0,0,0,0,0,14,0,0,2,0,0,1,105,10,0,0,4,0,0,0,0,5,0,462,457
Bulawayo,Bulawayo East,Bulawayo Municipality,3,St Thomas Aquinas Primary School,0801BYO0311,0,467,0,0,0,2,0,11,0,0,1,0,0,0,173,7,0,4,1,0,0,0,0,6,1,672,666
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Thomas Rudland Primary School A,0801BYO0312 A,1,383,1,0,0,1,1,10,0,0,1,0,0,0,168,4,0,0,3,0,0,0,0,3,0,576,573
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Thomas Rudland Primary School B,0801BYO0312 B,1,394,0,0,0,0,0,4,0,0,1,0,0,0,165,2,0,1,1,0,0,0,0,1,0,570,569
Bulawayo,Bulawayo East,Bulawayo Municipality,3,Woodville Primary School,0801BYO0313,1,262,0,1,0,1,1,8,0,2,0,1,0,1,153,2,0,0,1,1,1,0,0,8,0,444,436
,,,,19 Polling Stations,Ward Total,21,"6,646",6,5,2,8,7,161,1,2,13,3,0,4,"3,026",105,1,7,26,4,1,6,6,71,1,"10,132","10,061"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Burnside Garage Tent A,0801BYO0401 A,1,443,0,0,0,3,0,5,0,1,0,0,0,0,171,5,0,0,3,3,0,1,0,5,0,641,636
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Burnside Garage Tent B,0801BYO0401 B,4,472,2,1,0,2,1,10,0,0,0,0,0,0,134,4,0,1,0,0,0,0,0,11,0,642,631
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Ekusileni Hospital Tent A,0801BYO0402 A,1,292,2,0,0,2,0,9,1,0,1,0,1,0,126,6,0,0,0,0,0,0,0,2,0,443,441
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Ekusileni Hospital Tent B,0801BYO0402 B,0,304,2,0,0,1,1,11,0,0,2,0,0,0,116,3,0,2,1,0,0,2,0,2,0,447,445
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Hillside Junior School A,0801BYO0403 A,1,386,0,0,0,1,1,6,0,0,0,0,0,0,192,3,0,1,1,0,1,0,1,1,2,595,594
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Hillside Junior School B,0801BYO0403 B,0,430,2,0,0,0,0,9,1,0,0,0,0,0,148,4,0,1,1,0,0,1,0,6,0,603,597
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Hillside Teachers' College,0801BYO0404,1,329,0,0,0,0,1,15,1,0,0,0,0,0,163,6,0,1,3,0,2,1,1,7,0,531,524
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Leeside Shopping Centre A,0801BYO0405 A,1,441,2,0,0,0,1,10,0,0,0,0,0,0,139,8,0,1,1,0,0,2,0,4,0,610,606
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Leeside Shopping Centre B,0801BYO0405 B,0,434,0,0,0,4,0,7,1,0,0,0,0,0,161,15,0,1,0,0,0,1,0,7,0,631,624
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Lockview Primary School,0801BYO0406,2,505,0,0,0,3,1,18,1,0,0,0,0,1,256,8,0,2,0,0,1,0,1,11,0,810,799
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Masiyepambili Primary School,0801BYO0407,0,512,1,0,0,1,1,16,1,0,0,0,0,0,162,17,1,0,2,0,0,0,0,8,0,722,714
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Riverside Simulation Centre Tent,0801BYO0408,0,132,0,0,0,1,0,4,0,0,1,0,0,1,64,2,0,1,0,0,0,0,0,2,0,208,206
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Sandra Joans Centre Tent,0801BYO0409,1,84,0,0,1,0,0,7,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,1,0,137,136
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Townsend High School,0801BYO0410,1,517,1,1,0,1,0,13,0,0,0,0,0,0,158,11,0,1,2,0,0,0,0,8,0,714,706
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Willsgroove Tent,0801BYO0411,0,20,0,1,0,0,0,3,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,30,30
Bulawayo,Bulawayo East,Bulawayo Municipality,4,Waterford Primary School,0801BYO0412,3,387,1,0,0,1,0,13,0,0,0,0,0,0,147,14,0,1,2,0,0,6,0,5,0,580,575
,,,,16 Polling Station ,Ward Total,16,"5,688",13,3,1,20,7,156,6,1,4,0,1,3,"2,183",108,1,13,16,3,4,14,3,80,2,"8,344","8,264"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bulawayo East Constituency Total ,,37,"12,334",19,8,3,28,14,317,7,3,17,3,1,7,"5,209",213,2,20,42,7,5,20,9,151,3,"18,476","18,325"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bulawayo South Constituency,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo South,Bulawayo Municipality,6,Barham Green Hall,0801BYO0601,2,389,1,0,0,0,1,6,0,0,1,0,1,0,167,9,1,2,3,1,0,1,2,1,0,588,587
Bulawayo,Bulawayo South,Bulawayo Municipality,6,Barham Green Primary School,0801BYO0602,0,544,1,0,0,0,1,12,0,0,1,0,0,0,194,9,0,0,3,0,1,0,0,6,1,772,766
Bulawayo,Bulawayo South,Bulawayo Municipality,6,Bellevue Shopping Centre Tent,0801BYO0603,1,539,3,0,0,1,3,10,1,0,0,0,0,0,257,3,0,0,0,0,2,0,2,11,0,833,822
Bulawayo,Bulawayo South,Bulawayo Municipality,6,Greenfield Primary School A,0801BYO0604 A,1,423,0,0,0,0,0,7,0,0,2,0,0,0,151,6,0,1,1,2,0,0,0,1,0,595,594
Bulawayo,Bulawayo South,Bulawayo Municipality,6,Greenfield Primary School B,0801BYO0604 B,0,428,2,1,0,1,0,12,0,0,1,0,0,0,142,6,0,0,1,1,0,0,0,2,0,597,595
Bulawayo,Bulawayo South,Bulawayo Municipality,6,Jocks Shopping Centre Tent A,0801BYO0605 A,1,333,1,0,0,2,2,10,0,0,0,0,0,0,149,7,0,0,0,0,1,0,0,18,0,524,506
Bulawayo,Bulawayo South,Bulawayo Municipality,6,Jocks Shopping Centre Tent B,0801BYO0605 B,0,311,2,0,0,0,2,16,0,0,0,1,0,0,171,8,0,1,2,1,1,0,0,4,0,520,516
Bulawayo,Bulawayo South,Bulawayo Municipality,6,Sidojiwe Flats Tent,0801BYO0606,1,175,0,0,1,2,1,6,0,0,0,1,0,0,139,1,0,0,1,0,1,0,0,3,0,332,329
,,,,8 Polling Stations,Ward Total,6,"3,142",10,1,1,6,10,79,1,0,5,2,1,0,"1,370",49,1,4,11,5,6,1,4,46,1,"4,761","4,715"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Hlabangana Shopping Centre,0801BYO2101,0,330,2,0,0,0,2,7,0,0,0,0,0,0,148,5,0,1,6,0,0,0,0,2,0,503,501
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Ihlathi High School,0801BYO2102,1,528,1,0,0,1,0,21,0,0,1,0,0,0,185,4,0,0,5,0,0,0,0,4,0,751,747
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Intunta A Primary School A,0801BYO2103 A,0,402,0,0,0,1,0,10,0,0,0,1,0,0,125,0,2,0,13,0,1,0,0,2,0,557,555
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Intunta A Primary School B,0801BYO2103 B,0,382,1,0,1,0,0,8,0,1,0,0,0,0,153,0,0,0,16,0,0,0,0,6,0,568,562
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Intunta B Primary School,0801BYO2104,1,294,0,0,0,1,0,4,0,0,0,0,0,0,87,0,0,1,6,0,0,1,1,8,0,404,396
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Mahlabezulu A Primary School,0801BYO2105,2,534,1,0,0,3,1,11,0,0,1,0,0,0,203,0,0,2,6,0,0,1,0,6,0,771,765
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Mahlabezulu B Primary School,0801BYO2106,1,208,0,0,0,0,0,2,0,0,0,0,0,0,101,1,0,0,1,0,0,0,0,4,0,318,314
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Mapisa A Primary School A,0801BYO2107 A,0,265,0,0,0,1,0,5,0,0,0,0,0,0,151,1,0,1,5,0,0,0,0,1,0,430,429
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Mapisa A Primary School B,0801BYO2107 B,2,307,0,0,0,0,1,12,0,0,0,0,0,1,104,1,0,0,4,0,1,0,0,2,0,435,433
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Mapisa B Primary School,0801BYO2108,0,87,0,0,0,0,0,4,0,0,1,0,0,0,53,2,0,0,2,1,0,0,0,1,0,151,150
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Masuku A Primary School A,0801BYO2109 A,0,327,3,1,0,1,0,10,0,0,0,0,1,0,131,2,0,1,2,0,0,1,0,1,0,481,480
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Masuku A Primary School B,0801BYO2109 B,1,322,1,0,1,0,2,12,0,0,0,1,0,0,124,0,0,2,1,0,0,0,0,2,1,469,467
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Masuku B Primary School A,0801BYO2110 A,2,320,1,0,0,0,0,25,0,1,0,0,0,0,131,1,0,1,2,0,0,0,0,3,0,487,484
Bulawayo,Bulawayo South,Bulawayo Municipality,21,Masuku B Primary School B,0801BYO2110 B,0,330,2,0,0,0,0,26,0,0,0,0,0,0,129,2,0,0,1,0,1,0,0,2,0,493,491
